3980, 13.2, 427.7957
4000, 11.95, 455.9364
4020, 16.55, 431.8715
4040, 15.1, 728.1207
4060, 13.95, 438.4835
4080, 13.35, 368.5268
4100, 13.95, 235.5375
4120, 14.9, 428.1791
4140, 15.6, 518.6810
4160, 14.9, 231.5873
4180, 13.4, 154.1550
4200, 12.0, 216.2998
4220, 13.75, 227.6221
4240, 14.15, 631.1212
4260, 12.15, 515.2750
4280, 13.35, 231.4845
4300, 13.45, 432.4910
4320, 14.25, 444.0379
4340, 14.25, 379.9925
4360, 13.9, 142.7494
4380, 10.3, 311.4672
4400, 15.55, 485.4667
4420, 15.1, 514.1194
4440, 14.25, 221.8763
4460, 13.55, 367.4640
4480, 14.95, 294.6927
4500, 13.95, 347.2502
4520, 12.9, 301.0800
4540, 12.35, 557.1338
4560, 11.95, 160.3817
4580, 18.45, 365.0122
4600, 14.25, 500.9440
4620, 14.65, 239.5903
4640, 14.3, 444.1042
4660, 12.75, 428.9212
4680, 14.9, 578.1672
4700, 13.25, 429.1183
4720, 15.4, 303.6705
4740, 14.85, 413.3972
4760, 14.55, 224.5865
4780, 13.2, 233.0678
4800, 13.1, 369.2316
4820, 12.7, 232.3366
4840, 12.15, 233.3022
4860, 16.95, 157.0242
4880, 17.2, 377.8778
4900, 11.95, 590.4988
4920, 14.25, 446.8577
4940, 12.7, 366.7323
4960, 11.65, 103.6782
4980, 15.65, 301.8557
5000, 15.45, 163.1060
5020, 17.65, 216.5801
5040, 14.75, 231.2615
5060, 14.05, 508.3215
5080, 12.85, 446.7465
5100, 16.0, 719.0203
5120, 13.8, 601.5410
5140, 14.2, 508.4208
5160, 11.65, 314.8814
5180, 11.8, 230.1764
5200, 13.35, 103.1664
5220, 14.85, 321.2014
5240, 10.5, 225.9110
5260, 12.9, 309.5409
5280, 15.75, 231.4518
5300, 15.05, 381.7111
5320, 14.95, 298.1366
5340, 14.5, 215.0301
5360, 12.35, 96.6561
5380, 14.4, 301.2878
5400, 14.4, 374.5936
5420, 14.7, 369.1011
5440, 13.65, 298.7194
5460, 15.8, 484.7343
5480, 14.7, 288.5785
5500, 14.35, 227.9895
5520, 14.1, 496.2492
5540, 13.4, 237.3127
5560, 12.05, 18.8270
5580, 14.25, 293.5675
5600, 16.65, 233.6186
5620, 15.35, 374.7397
5640, 14.5, 306.4767
5660, 12.85, 513.3779
5680, 10.75, 437.9751
5700, 14.25, 295.3673
5720, 15.65, 231.4313
5740, 14.6, 378.6393
5760, 14.9, 365.0881
5780, 11.85, 308.6164
5800, 16.85, 308.0721
5820, 14.7, 511.5887
5840, 10.85, 302.8409
5860, 12.5, 511.9309
5880, 14.15, 571.1592
5900, 16.75, 302.0683
5920, 14.5, 494.1392
5940, 14.3, 382.7484
5960, 18.0, 158.9597
5980, 15.95, 302.1177
6000, 14.4, 442.8777
6020, 17.15, 499.5123
6040, 12.4, 158.7332
6060, 12.5, 289.2448
6080, 14.65, 556.7486
6100, 14.4, 302.0327
6120, 15.6, 224.6822
6140, 13.9, 499.4214
6160, 15.05, 352.7666
6180, 14.95, 592.6578
6200, 11.5, 427.6265
6220, 14.1, 386.5085
6240, 14.85, 491.3381
6260, 14.1, 228.5681
6280, 14.2, 832.9238
6300, 15.25, 168.5708
6320, 15.5, 576.7006
6340, 13.4, 163.6492
6360, 17.15, 302.5528
6380, 15.4, 374.5632
6400, 14.75, 282.5271
6420, 13.45, 222.2572
6440, 13.35, 153.4136
6460, 13.15, 289.4135
6480, 14.8, 356.0748
6500, 14.4, 298.3089
6520, 14.2, 297.3681
6540, 15.0, 218.4570
6560, 12.15, 359.5569
6580, 12.35, 233.6197
6600, 12.6, 306.4962
6620, 15.6, 288.5565
6640, 15.7, 512.0320
6660, 14.4, 501.4630
6680, 14.0, 442.4198
6700, 13.6, 489.3221
6720, 15.15, 431.2117
6740, 13.65, 418.6691
6760, 14.05, 301.6827
6780, 10.5, 313.0878
6800, 15.65, 353.5358
6820, 13.35, 375.5184
6840, 16.95, 435.0612
6860, 12.95, 444.6514
6880, 15.4, 441.9137
6900, 12.4, 375.1332
6920, 16.0, 422.6533
6940, 13.45, 705.8492
6960, 14.8, 423.3827
6980, 14.05, 221.7896
7000, 13.3, 385.1152
7020, 11.1, 249.0622
7040, 12.7, 451.5952
7060, 13.15, 164.2843
7080, 14.55, 505.6337
7100, 13.35, 427.1292
7120, 12.85, 298.6204
7140, 11.85, 495.7929
7160, 12.95, 282.2587
7180, 13.9, 556.2355
7200, 12.3, 236.1390
7220, 15.1, 155.7797
7240, 15.3, 579.0977
7260, 13.95, 98.2839
7280, 15.25, 221.6495
7300, 13.05, 443.5290
7320, 14.9, 433.7917
7340, 14.65, 230.9116
7360, 14.15, 238.3643
7380, 13.55, 291.4512
7400, 14.15, 388.5856
7420, 12.3, 92.7577
7440, 13.85, 562.5632
7460, 14.6, 95.9624
7480, 15.3, 295.6083
7500, 13.1, 544.3230
7520, 13.8, 89.5800
7540, 14.35, 587.2250
7560, 17.5, 371.9088
7580, 18.3, 225.8345
7600, 18.05, 161.7014
7620, 14.55, 804.9227
7640, 14.4, 362.2261
7660, 13.9, 297.2407
7680, 14.7, 165.8824
7700, 16.2, 521.8499
7720, 14.15, 150.0478
7740, 13.3, 292.9493
7760, 14.1, 865.0159
7780, 14.0, 429.7474
7800, 14.15, 371.5215
7820, 12.55, 231.5242
7840, 18.3, 86.0227
7860, 17.25, 423.6262
7880, 14.25, 447.8022
7900, 18.0, 221.4901
7920, 14.25, 589.6237
7940, 12.65, 139.8420
7960, 15.6, 299.8001
7980, 14.75, 298.8077
8000, 15.0, 215.7800
8020, 14.25, 163.1738
8040, 15.15, 431.6150
8060, 18.45, 377.3629
8080, 13.35, 296.7211
8100, 14.2, 437.1968
8120, 15.3, 223.1087
